
 S-Netz zu Lauf: 1

(60, 24); (63, 21)

 S-Netz zu Lauf: 2

(3, 58); (14, 71)
(12, 90); (14, 71)
(18, 5); (22, 10)
(60, 24); (63, 21)
(60, 24); (72, 34)
(91, 70); (95, 90)
(98, 50); (112, 64)
(107, 0); (111, 4)

 S-Netz zu Lauf: 3

(3, 58); (14, 71)
(32, 116); (54, 117)
(95, 90); (107, 99)
(98, 50); (112, 64)
(98, 50); (119, 33)
(107, 0); (111, 4)
(98, 50); (91, 70)
(60, 24); (28, 25)
(60, 24); (72, 34)
(77, 54); (91, 70)
(75, 105); (54, 117)
(12, 90); (14, 71)
(60, 24); (63, 21)
(76, 23); (63, 21)
(22, 10); (28, 25)

 S-Netz zu Lauf: 4

(3, 58); (14, 71)
(28, 25); (23, 28)
(12, 90); (14, 71)
(75, 105); (54, 117)
(20, 62); (23, 28)
(56, 72); (77, 54)
(60, 24); (63, 21)
(54, 117); (75, 105)
(107, 99); (95, 90)
(112, 64); (116, 65)
(119, 33); (111, 24)
(111, 4); (111, 24)
(91, 70); (77, 54)
(63, 21); (66, 12)
(28, 25); (22, 10)
