(112, 64); (116, 65)
(60, 24); (63, 21)
(107, 0); (111, 4)
(23, 28); (28, 25)
(18, 5); (22, 10)
(75, 105); (82, 111)
(63, 21); (66, 12)
(14, 71); (20, 62)
(12, 90); (22, 95)
(72, 34); (76, 23)
(111, 24); (119, 33)
(63, 21); (76, 23)
(95, 90); (107, 99)
(60, 24); (72, 34)
(22, 10); (28, 25)
(3, 58); (14, 71)
(12, 90); (14, 71)
(98, 50); (112, 64)
(111, 4); (111, 24)
(91, 70); (95, 90)
(72, 34); (77, 54)
(91, 70); (98, 50)
(77, 54); (91, 70)
(32, 116); (54, 117)
(22, 95); (32, 116)
(54, 117); (75, 105)
(82, 111); (95, 90)
(98, 50); (119, 33)
(56, 72); (77, 54)
(28, 25); (60, 24)
(20, 62); (23, 28)
(20, 62); (56, 72)
(56, 72); (75, 105)
