(81, 23); (82, 22)
(90, 117); (91, 113)
(109, 17); (115, 16)
(109, 17); (110, 10)
(82, 22); (83, 14)
(110, 10); (113, 2)
(74, 13); (83, 14)
(24, 20); (33, 23)
(70, 69); (72, 82)
(33, 23); (46, 20)
(0, 80); (8, 69)
(65, 55); (70, 69)
(34, 63); (43, 75)
(118, 97); (119, 113)
(8, 69); (11, 53)
(72, 82); (89, 80)
(11, 53); (28, 43)
(19, 90); (38, 96)
(28, 43); (33, 23)
(28, 43); (34, 63)
(0, 80); (19, 90)
(2, 28); (24, 20)
(10, 1); (24, 20)
(38, 96); (46, 119)
(83, 14); (109, 17)
(43, 75); (70, 69)
(91, 113); (119, 113)
(46, 20); (74, 13)
(89, 80); (91, 113)
