(115, 22); (118, 24)
(110, 51); (118, 24)
(110, 21); (115, 22)
(99, 56); (110, 51)
(98, 16); (110, 21)
(98, 16); (104, 5)
(96, 73); (99, 56)
(96, 73); (96, 74)
(95, 118); (120, 112)
(95, 118); (96, 74)
(82, 61); (99, 56)
(79, 17); (98, 16)
(67, 6); (79, 17)
(64, 105); (95, 118)
(56, 53); (82, 61)
(56, 4); (67, 6)
(55, 94); (64, 105)
(53, 33); (56, 53)
(48, 78); (55, 94)
(48, 78); (56, 53)
(45, 17); (56, 4)
(45, 17); (53, 33)
(43, 106); (55, 94)
(39, 114); (43, 106)
(39, 114); (40, 116)
(37, 8); (45, 17)
(15, 26); (37, 8)
(11, 29); (15, 26)
(8, 111); (39, 114)
(2, 9); (15, 26)
(0, 105); (8, 111)
