(113, 34); (116, 32)
(106, 46); (113, 34)
(106, 46); (107, 51)
(105, 5); (116, 32)
(104, 95); (119, 81)
(103, 45); (106, 46)
(101, 65); (119, 81)
(101, 65); (107, 51)
(97, 69); (101, 65)
(95, 42); (103, 45)
(93, 77); (104, 95)
(93, 77); (97, 69)
(90, 59); (97, 69)
(90, 59); (95, 42)
(74, 100); (81, 115)
(74, 31); (95, 42)
(71, 93); (93, 77)
(71, 93); (74, 100)
(56, 19); (74, 31)
(54, 6); (56, 19)
(32, 50); (38, 50)
(30, 35); (56, 19)
(26, 45); (32, 50)
(26, 45); (30, 35)
(25, 107); (71, 93)
(15, 54); (26, 45)
(14, 118); (25, 107)
(13, 93); (25, 107)
(13, 93); (15, 54)
(11, 11); (30, 35)
(4, 119); (14, 118)
(4, 119); (5, 113)
